2024-01-05 00:11:13 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:11:13 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:11:17 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:11:17 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:11:17 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:11:17 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:11:21 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:11:21 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:11:21 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:11:21 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:11:24 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:11:25 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:11:25 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:11:25 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:11:28 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:11:29 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:11:29 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:11:29 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:11:32 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:11:32 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:11:32 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:11:33 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:11:36 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:11:36 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:11:36 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:11:36 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:11:40 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:11:40 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:11:40 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:11:40 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:11:43 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:11:44 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:11:44 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:11:44 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:11:47 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:11:47 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:11:47 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:11:47 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:11:51 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:11:51 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:11:51 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:11:51 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:11:54 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:11:55 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:11:55 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:11:55 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:11:58 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:11:58 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:11:59 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:11:59 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:12:02 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:12:02 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:12:02 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:12:03 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:12:06 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:12:06 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:12:07 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:12:07 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:12:10 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:12:10 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:12:11 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:12:11 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:12:14 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:12:15 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:12:15 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:12:15 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:12:18 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:12:19 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:12:19 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:12:19 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:12:23 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:12:23 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:12:23 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:12:23 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:12:27 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:12:27 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:12:27 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:12:27 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:12:30 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:12:30 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:12:31 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:12:31 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:12:34 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:12:34 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:12:34 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:12:34 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:12:38 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:12:38 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:12:38 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:12:38 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:12:41 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:12:41 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:12:42 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:12:42 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
